comment,Label
parkir e ojo neng pinggir ndalan sisan gek dipalang ne ngunu ae genio,0
kaboten setor paleng wkwwkwk,1
rumit ga masuk kantong,0
nya pindah negara gimana,0
pendapat ku apik lor mergo ben ora hasil dr prkir langsng disetor ne nge apbd ngo bangun2 op kono ben ponorogo luweh maju dlm segla,2
rekayasa lalin kayane ya enek acara ning jalan alun alun sih lor iku ben lancar ngono,2
pelan pelan,1
mikir gawe alat kui mbok mikir nang engon parkir sing luas ura nang pinggir dalan kiwo tengen garai sempit dalane wes kelongi kanggo trotoar sakmno ombone yo gone parkir sik ng pinggir dalan pok ae to yo yo macet,0
ditertibkan tukang parking byk yg ga jlas dksh 1000 2000 2000 ga dikembalikan5000 jg,2
arep tuku klambi ning ninetynine tp ora enek sg digoleki metu sek bayar parkir,0
,1
siji ae min lek iso samsat kae gratis parkir e,2
setuju eparkir,2
apik,0
menuntut gaji umk ponorogo menuntut pembekalan sop diperhatikan gaji umk ga sesuai sop,0
lha kadesnya gimana kak ndak info,0
beh kaget,1
setuju banget lek diterapno gawe kebaikan,2
ebesss,1
turu ae gak eparking males kerjo upah,0
alasan wae,1
lhaaaa,2
rubicon,1
padine ra iso ngutel ae kakean alasan ribet pegel ki motor ra kapakne nk parkir yo sek panggha jaluki duwek parkir nk ngaleh,0
pie ale ngentit mas la jukir iku ya ya bayar setoran ndek dishub lo,0
si satir,0
jukirnya training,0
seumpama mertamu masuk gang parkirnya didepan toko biaya parkir,0
la,1
semangatt,0
wkwkwkwk,1
keliatan punglinya sblm eparking pad 71jt eparking 134 juta oknum pejabat ae sing seneng duit panas kebanyakan jukir senengan e pungli makane diterapkan eparking menolak ketar ketir pemasukan menurun mergo wes gaiso pungli neh sing jukir nakal,0
bingung pengoprasiannya pandai mengerti huruf baca,2
dijak maju gk gelem ngko eparking wes jalan gnti komen mbok yo ngne ket biyen,2
bos berek,2
taman jalan mengganggu bahu jalan parkir jalan terwagu,2
dpn sebrang pizzahut pernh parkirmobil 10 rb g disusuki,0
tau lali nggone ngendi lur sing kaya ngono wi,0
jajal parkir online aah,2
kalo alesan ribet ya belajar kalo gak ribet ya ganti pekerjaan gantiin kerja,2
waah,1
bener bayar sg dibayar karo pemasukan e bedo wkwkw pengunjung parkir kebanyakan ga diwei karcis karcis e maleh dadi akal akal ane jukir sg senengane main pungli,2
nggih leres setuju,2
yo mugo ae la nk minimal 10mnit ngono yo gpopobareng 5mnit ae msok yo kon byr parkir ng surya bayar parkir ng kasir hdeh,0
lhadalah iki anu nek iki,1
rakyat kantong pegawai pajak,0
oke deh rpp onok kemajuan,1
aneh aneh ae genah sdm e sek koyok ngene og kecepeten 10 taun,1
kesel ngangkutingko biaya nehtukang angkut2,2
nguyoh ae 2000 ngasi parkir 1000,0
jajal 10tahun kas tibake sdm e sek podo,2
pendapatku tetep penak parkir gratis,2
wealah ngono digenahne,1
kebnyakan tukang parkir ponorogo masuk toko tukang parkirjalan d parkir nya makan jalan separo,0
tp nek gonq seikhlase bos yg minimal sesuai perda yg berlakumanualklo gone erepane pean gmn bos,2
jukir setornya dinas perhubungan bulandan dipatok tarif setornyacara ngentitnya gimana ya mbak,1
gelem natakne motor iso2 ngewei kerdus ben gak kepanasen motor e nek gur moro2 nagih duit tok gak gelem natakne motor yo enak temen kerjone,2
po yo iso dikontrol nek manual wkwkwk,2
kalo acara 5k kaum pelajar keberatan,1
layo ngono mbokan moso parker motor 2k,2
pakai tas biar gampang bawa nya,2
luweh ikhlas duit sewu rongewu nggeh kang parkir tinimbang diakali nduwuran sing eneeeng ae carane gawe proposal alat eparkir ben amrih cair dana ne,1
mergone nek parkir eletronik kertase ora iso dirubah 2000 3000,2
loveâ kadang rencana ngasih 2rbu trus tau g dikembaliin malih g hehehehe,2
krungu krungu pasar lanang iku ameh digae parkiran mobil ngono min jane cocok lo kui,2
bagus menghindari parkir liar bayar liar,0
aq pilih elektronik ae min wis males ngadepi jukirâ² sg diwei sewu ditampani diwei rongewu ra dijujuli ayo dishub galakkan eparkir aja,2
diomongi jawabelione yo limang ewulak ra gelem bayarojo parkir ne kenepy trusan,0
poin pertanggung 3 seg podo ae gak wani tanggung kur njaluk pajak ndak masuk akal,0
pelatihan,1
orang yg menolak kemajuan mengeluarkan alasan yg ribet susah,0
gak tdk bismillah bisaaa,2
minkalau lapor ttg pembangunan jalan didesa gmna ya minsaya tinggal sawoo desa aja yg gak bangun jalan nya desa dbangun,1
regenerasi ae ga sihh,2
kalo pake motor mending bawa masuk gang ae kalo pake mobil ya resikonya parkir diliat gang,0
siji d kon ngno liane do ngaleh,0
seng dibayar teng dishub niku nggeh sampun target kaleh kantor e lo mas ng setoran e mawon nggeh golek i e wonge mas,2
eparking d pinggir jalan emang sulit g enak ruwet mending benerin lahan parkirnya biar jalur masuk jalur krn mudah dikerjain duluan tuh tahapannya masak mie didihkan airnya jgn langsung masukin mie nya lodoh,0
setujuu,2
panggah cilik seng gae susah,1
jenenge belajar ki yo alon2 urung2 wis sambat,2
biasane emg gt mas yaa tau ponorogo terobosan bayare pake qris,0
pakai uang tunai kak bayarnya,1
maaf setau sy klo jalan desa masuk cover dana desa jd lgsg kantor desa,2
adakan pelatihan jukirnya biar sat set das des gak ngantri kaya spbu tdk pelanggan parkir nyantai yg buru2 cepat drmh 7an,2
kesuwen dulung i 2 ewu e gek langsung cus,2
masookk,1
gae scan qr code qris wae mbayar e,0
kebnyakan tukang parkir ponorogo masuk toko tukang parkirjalan d parkir nya makan jalan separo,0
ndaraku ya ngono,1
setujjuuuu polll drpada baku hantam trus kro tukang parkirpas teko g enek sg nyambut pas arep muleh tukang parkir pdo kruyukâ² teko kyo laronn,1
lanjutkan eparking nya,2
ono ono wae saiki peraturan anyr dadak e parkir,2
bagusan e parkir dana yg masuk maksimal tp klau lhat tren pemerintah uang2 dr pendapatan pajak rawan d oknum2 jd aja intinya uang nya gak tau kmana,0
nek wes akeh hasile tulung ojo korup,0
mbayangne ae nek metu barangâ² seng teko barengâ² tukang parkir e kiroâ² polah e piye,0
enak e parkir aja tukang parkir yg ga ngapa in ehh uang wkwk,2
lucu,2
sing muni rumat rumit dicutik ae suwen,0
gk ribet nih min jal lek ruame,0
adaptasi,1
oke awakmu tim elektronik ya kak alesane kak,0
semangat perubahan,2
piye pek,1
data lengkapnya min,0
gae latihan lurr bn iso mumpuni sdm e,0
mbenjeng,1
hmmhehe pokok ora jotos jotosan,0
jane lk podo bingung mending mlaku ae,0
banaya piye kak,0
pas e parking 2 ribukemaren gak e parking 3 ribu,2
kakean rengkek min parkir 2000 ae bodo umek ae ngurusi kuii mbok tukang parkire djak ngurusi samlah sampah opo ditambahi pengahasilane ben karo nyapu ratan merwat bunga seng neng pinggur pinggir dalan kae gae wes enek patugase nyatane samlah yo sek numpuk neng endi endi,2
penak eparkir bayare parkir murah min,2
slidikono min duite melbu nng ndi kae,0
pokok padamu pakbu semerintah arep digawe pie ae sing ngene iki ttep manot,1
teknologi melebihi akal sehat 2023 ngurus surat2 nek kantor deso ae kon foto copy ektp kog parkir pake elektronic,2
nyekel parkir daerah ngendi mas,0
tetep kudu cak cek ben ga kesuwen nunggu,0
penak sing ndi jane kih,2
iki lo min seng gaene parkir ng sekolah lek mbayar mbenjeng mbenjeng ae,2
la nggeh to mbak bener jukir resmi iku ya e setor ya setorannya enak men bilang ngentit pendapatan daerah parkir pas acara kemarin kasih tarif mahal orang tukang parkir resmi,2
nahhh klo kaya gini enak jdi harga parkir ngga sndiri wkwk,2
coboy,1
nek arep mbayar angsuran harian piye bos nek wis ngono kui,2
halah dalan ombo digae sak arah mbasan wes sak arah mek gae parkerr marai macet tok,0
biasanenek uji coba iku bakale evaluasi formalitas negri konoha biasane ngunu,2
piye carane kuwi sing zuzah,0
kyok sistim gacoan surya swalayan bayar parkirnya kasir kebocoran tarif e podo tur ora dislewengke,0
motor diwalik e ora,2
mlio boro useln motor mobil sak e,1
dana bocor korupsi duwuran,1
wih 13471 selisih pinten niku,2
terobosan hebat alhamdulillah kota ide brillian tinggal kota dimana salah kota perasaan sejengkal tanah tukang parkir sampaisampai beli barang sepele aja ngga kebeli krn uang berkurang bayar parkir sanasini ngga setor pemerintah jujur motor hilang ngga ganti uang parkir utk kepentingan pribadi utk pengusaan lahan parkir jualbelinya nyampe ratusan juta milyaran hilangkan tukang parkir manual menjadijadi ganti dg eparkir uangnya utk menambah blt masyarakat miskin kasih cangkul sabit barokah parkir menyusahkan masyarakat parkir manual membantu masyarakat arah premanisme,0
sing durung kulina,2
e parkingo yo tetep mbayar mas marai ya iku lo mas fikirane bedo bedo mas pomokno tok a b c d sampek z urung temu bajune yo tetep bayar 1000 peng intine dilempit mawon mas kendraane,0
sabar mbak ben dibales si ng nduwur,2
maleh gk minat dolan rno min,2
ora iso ngentit,0
nyuwun sewu parkir pinggir jalan kados jalan hos niku tarif bayare pinten geh sakniki tirose enten sing roda 2 2000 roda 4 5000 nopo leres soale nembe dek wingi pas badene parkir mboten enten sing mapakne moso bade wasul langsung diparani gek bayar 5000 biasane disusuk i 2000 mboten nggeh leres menawi eparking dipun terap aken damel antisipasi pungli jukir meniko,0
ribet sg ribet kw kui wg djak penak kg angel negoro kog arep maju djak pnak ae modelan ngene ki sg garai ra maju2,0
no comment urusane pusat,1
aq bolone tukang parkir,2
fungsi trotoar pejalan kaki angkringan,1
parkir nang ngarep latansa duit 10rb arep ora disusukiduit e lebokne kantong lsgdikiro kene ra ngerti pd etok2 berpaling mukamboso dienteni duit etok2 digoleki seng 10rbdelalah nang tumbukan duite enek 10rbdi iya i wae trs agi disusuki,2
2000pyakeh kae sing 500010000,1
weh cash bon,2
,1
ngangge diamond mas,2
jukir nolak eparkir kene yo nolak mparkir podo nolak e akhire gk sido mbayar,0
weh piye ta e ditokne dhewe,1
agus yayat kecekel silop min,0
mas merka lahan yo mengupkan biaya parkir lo contoh raya poper luwes pcc lahan ya aji mumpung intinya smga dilncarkan riskinya sedekah parkir 1000 rupiah diwehne ngan ngnu diwei 1000 sek nesu parkir 2000 ora mbok wei susuk mesti muni matursuwun opo meneh seng mbok wei mbah mbah tuwk mesti ditambah ngantos ngatos mas mbak,2
alhamdullilah ponorogo maju mending kasih uang 2000 kasih kembalian,2
poneh montor dipapane ora agek didelehne wes diparani tukang parkir nyebrangne yo ora biangeten,1
nyuen nyuen i lakon,2
iki wã¬s arp event grbg surã¥ area alnâ² wajib eparking bã©n ora meresahkan,2
lhaa ndalahpodo sek ngenes awakmu wae parkir mobil ning ngarep pendopo ditarik 2000gek blas karcis ngono kui piye jal indonesia arep dijak maju angel to mbalek maneh nang sdm,0
gek arp d atur pye enh hemmm,1
ribet opo emang moh belajar padene ben mbalik manual meneh,2
sing dek mben nggremeng parkir larangkui lo ws kabulne ben reti nek parkir gur sewu,2
iya mba bpom ampuh strechmark bekas lahiran hilang memudar pakai produk,2
alasannya emang jukir setor uang pemda gak sesuai target kemarin yg matok 15k mobil lebaran,2
manual,1
umpama blonjone neng kono masgeg gowoo mobil trus parkir ngendi,0
mbok yo nng poper pisan kek i e parkingangger rono pas hariâ² parkire ngalahâ²no kota,1
kesuen butue ndang geret ndang sebrangne selak okeh sing ngantri gaeyanmu akeh noto motor harang,0
emang beneran ampuh nih mba udah bpom mba nihh,1
cocok,2
sing durung kulina penak e parking,2
y tukang parkir nolak y setorkan hasil beda,0
panggon e hospot ae buk ku bingong iki ndadak scan2 barang to minnn,0
piye kak penak sing ndi,2
enak eparking,0
lahan kususne kota lahane kusus rodok angelkakean omah dllgelem py parkir ombo neng lapangan kodimtrs acarane neng alun2,2
kesuen selak macet,0
jaman pasar malem wingiparkir ditekok i byar pinten paksak ikhlas e mboso diwei rongewu lek ngomng jane telungewu lo mbk,0
bner,1
laaaah ya tekan konoooo nele piye ta kih,1
asli br 3 pindah ktp dsni sprtinya org pasrah2 sajaini udh bertahun2 gada perubahan sm,0
lhadalaa,1
kono kono aturen ra mangan gapuro,0
sip lanjutkan,2
gak pake parkir berlanggan pake stikermenolak e parking emange jalane mbah mu,0
oo ponorogo yg kota reog ya daerah terkenal dng negeri balon nya,2
sing nek parkir mobil gede opo truk yo pikir kancane no ben ora ngebek i dalan ngono kae,2
emmm no komen mbk nopo nolak,0
lohla ra byr ki pydg eparkirmungkin lbh trtib lagilak bayar 2000 yo 2000krn wis dideteksi ama mesin tsbmungkin lo ya,2
lho emang yg bener parkir karcisnya karcis nggak pas parkir lha duit gelap,2
terbiasa ribet,0
garis bawahi tebali mengurangi penghasilan ya klo niat pakai eparking mbok iyo to jukir bimtek latih ben gak bingung,2
sing nolak2 kon prei ae dadi jukir,0
okeee awakmu tim elektronik ya kak ben tertib ya,1
suwen selak mlayu liyane,0
diajari penggunaan alat elektronik parking tp diajari parkir kendaraan yg,2
jukire sepuh,0
ribet eparking mending kasih fasilitas lahan khusus parkir biar gak parkir dipinggir jalan yg solutif gituloo,0
gak tau lahparkir manual seng ngentit jukirla ko gawe e parkir seng mangannek podo ora transparan yo ora ush wenei parkirwong duwe motormobil yo wis mbayar pajekkok yo sek mbayar parkiraneeehhh toooo,2
anu e mas parkir ng lapangan nko mlaku ng gon tujuan e puenak requestmu diluar nalar bmkg lahan e ndak ono full omah,2
sek durung terbiasa suwe2 karek merem iso,2
njaluk pemimpin e ora korupsi rakyate dewe hobine yo korupsi,0
trus kemana mas aturan perda sudh tapii urus sekrg parkirnya dilahan pemilik cnth didalam pizza hut iya bilang aturan perda la lahan la tempatku lo mas sya yo bayar pajak koyo gk ngerti ponrogo ae mas akua 2000 aji mumpung kadang yo didol 5000,2
ben,1
lanjutkan eparkingsampek berlaku tenanan pokokemengurangi parkir ilegalangger mandek endi enggon kenek parkir motor 2kbasamu wes nompo duite ditinggal ngalihmboko ditulisane motor 1ktetep dikon mbayar 2k,0
haha kandani kdg maune gk onok wayah arep ngalih muncul,1
