comment,Label
jaman digital sdm ya upgrade tujuan pemkab modernisasi utk meminimalisir kebocoran pad bertambah,1
hla iyo lopo meneh jukir e sing tuwoâ² contone bapakkupiye trus an,1
nice,0
jalannya parkir telortoarnya jualanmantap,2
maar nih melenceng topik info obat penghilang strechmark,0
lhadalaaah mall pelayanan dudu mall blanjan,2
pas ono konser denny caknan karo mnc tv poro jukir iso gae ngredit motor ngertio difkir fkir sakjane yo mesakke dilain sisi greget yo lur,0
jane eparkir i cocok e gae lahan seh enek khusus parkir koyo mall toserba utowo pasar lek peruntukan gae lahan parkir terbukapinggir ratan i cocok soale mesti ribet tp lek manual ya sek akeh jukir seh nakal mboh bingung,0
terbiasa ribet,0
sek sek lha iki bayare gawe opo ta gess qris,1
seksek alesane ribet oke masuk akal tp nek penghasilan menurun aneh ya maleh,0
la ngono kwi mbayare pie moso ws gae alat kyo dc mbayare sik manualyo podo ae boong dongsak ora2ne gae kertu,0
memudahkan orangâ² cashless,2
klo alasannya berkurangnya pad daerah pasang aja banner âfoto viralkan jukir yg karcisâ udah gitu aja jukir ketar ketir ribet pake elektronik,2
eh sik sik pengahasilane yabukane wes digaji to minkok paham ak,1
siaaap awakmu tim elektronik ya kak,0
ribet cuk,0
meresahkan piye lur,0
rumit cuan nya 2kmotor skrng 1kmotor,0
naaah benul wis jajal eparkir durung kak,2
mohon tukang parkir kalok niat parkir,1
tp nek gonq seikhlase minimal sesuai perda tp jg ngono podo kesadarane seikhlase podo abotmalahan motor 5rb nang seputaran alunpodo gelem,0
pakku tuek min hpne 3315 gawene ngopi ng kno,0
main idea is good but the device needs more efficient,2
parkir gacoan sih uanehhhhh muesti ga enek uang kembalian muesti,0
barang opo wi,1
pergi kang parkir,0
lek raiso gawe alataplikasi ne ganti sg enom kualitas sdm updated,2
nek ra gelem dadi jukir munduro aenek maju2 keterak motor ngko,1
nek pama mlayu dhisik ngono piye,0
setuju bang,2
iyo yaa mba tuntut serba gaji guyonan tuntut serba canggih kaya raya miskin menderita umr aja ga imbangkan gaji pas pasan bener ncen mending capek kerja capek cari kerja yo mengkis nek kerja gaji dibawah ratarata semangat pejuang rupiah,0
coba kalo full model kayak e toll top up saldo tp mudahnya gak ribet jujul hehe btw bayar via sopipaygopay gak,2
halahh engko yo waleh gek mbalik parkir neh,1
lanjutkan,2
byuuuh giniya kene enek lho eneme padang,1
okai kak,2
giegerno ae,1
duduk seng nang latar e latansa lo yaseng dalan hoskan parkire dewe2 iku,1
team mlipir nyimak sek menowo isek enek celah,0
oh iyo ben macak kegawe anggaran e,2
i sdm rendah gawe ngonokan iki contohe,0
berdasarkan keputusan gubernur jawa timur nomor 188889kpts0132022 upah minimum kabupatenkota jawa timur 2023 upah minimum kabupaten ponorogo 2023 rp214970945 akeh bayaran sg sak ngisore iku biaya hidup e ng ponorogo jan tenan fasilitas sih apik yo iku pendapatan masyarakat e ben iso munggah iku kudu wehi solusi sek moco enek komen sg kecepeten 10 setuju iku inarat ne buta map,0
okeeeee,1
sing tenang kak,2
okaayy,2
ga berlaku,1
minn menawii dirimu ngerti dalan ngarep omahku kokk wenehi plang e dishub kiro2 opo selawase yaa minn lokasi rsu muhammadiyah tambak bayan ngulon minn,0
trus complain ng sopo ngene ki jal,0
digaji rakyat difasilitasi mewah rakyatmaka bekerjalah melayani rakyat permudahlah urusan rakyat dg kemampuan yg dimilikidg tehnologi yg canggihsesuaikan gaji fasilitas yg pejabat nikmati dg kemudahan fasilitas rakyat mudah adil,1
iyass,1
tenaga yg nganggur,2
ya ditolakdia gak duit tambhan pemasukandan rawan pungliklo sdh pungli preman,0
gasssss,1
parkir pcc aja dikelola ketiga,2
parkir neng etan alonâ² ki maeng dijaluki 2000 sikan min,2
enek sing luweh sekedar e yo iku ora ngilang nek pas parkir teko pas arep mbayar,2
kadang diwei 5 ewu gak jujul alasan gak ketok ngamal,1
gt bro mksd q ak kalo mtor dikasih 2rb diem aja pdhal dtmpat 1rb diem klo 2rb ad yg ngasih kmbalian kyk gak ikhlas gt lho berasa dipalak ajakalo setuju tarif aja yg dipinggir jalan,2
lawong pegel lo mas,0
iyaa kadang belanja keperluan gag parkir,2
panggah penak manual sat set,0
penghasilan berkurangpernah parkir motor salah ruas jalan hos cokroaminotosaya kasih 5ribuankok dijujuli 2000 aq yo nge gas tosejak parkir montor malih 3000 trus mbi jukir e dijujuli 3000 alasane salah ndudut duit,0
wkwk brharap parikir motor ponorogo jawa timur 1000kamin,2
okeee awakmu tim manual ya lur,0
ntar terbiasa butuh,0
ayok mas solo digae ngunu,2
enak pakai e parkir kayakny,2
bahu jalan parkir ya gak tertibkan garis sepadan jalan fasilitas parkir klo bahu jalan seakan uangnya fasilitasnya gak parkir jualan fasilitas tolong plisss pad sejalan peraturan,0
mambengi 3000 sak motor neng festival lur,0
makan rakyat makan wakil rakyat,0
semoga iso dadi apike kabeh,1
mugo2 alat eparkir kui iso setting parkir 10 menit gratiskejadian koyo awakmu ben ora terulang,2
berpendapat,1
okeeee kakak semangat,2
yuk yuuk,2
setuju,2
mening iki minjelas piro2 ne tarife la mso diweii sewu lambene mecocong ae,0
mugo ae nek khilangan tmpt parkir ganti 100 hehe,0
iyessetuju biar biaya parkir tarifnya jelaskadang gak dikasih kembalian,2
seribu brogua parkir mobil gua kasi 10ribu gua dikasi kembalian e kaburmending sistem langsung masuk kas daerah,0
lanjutkannnn,1
gak penak langsung ngewehi sewu panggahan,2
alhamdulilah semoga parkir alfa indomaret,2
kayane ya wis diwenehi lur ya butuh penyesuaian ya muga muga isa lancar,2
penak nk parkir ra sah bayartrus jukire digaji pemerintah ngono,2
iku masalahe ki nggur durung kulino ae,2
yoo diomongii aturane 1000 lo nek gak ngnu karo muleh butuhw diwei 5000 masaku ket jaman disek yo tekan 5000 parkire,0
sik tos sik,0
yo jukire wae seng ganti,2
alasan knapa muales lak kon metu2 mandek pirang nggon parkir e wes muni po mneh lak tmpat e rame saiki rata2 3k,0
lha iku ngoperasikan alate iku sing dicekel iku lho,1
ketok e gawe kartu sih koyo mlebu nek tol,0
tugase kui ngko nyapo min wes enek eparking sek dilibatkan,2
la aq karo anakq lo bos pdhl ankq numpak ng motor mlh ng surya byr parkir e ng kasir hdeh parah,0
simpel aja sih jalan bangun pemerintah ya apapun kegiatan diatas nya milik pemerintah sepenuh nya kejujuran transparansi,2
ponorogo hebat,0
udh tua bgaimna dongksiann ga ngrti gituan,0
ntar terbiasa butuh,0
sipbuat ngurangi pungli,1
laah tonggo ku ngono an,1
purwokerto banyumas parkir motor esih 1000,2
ak nang jepang min,1
bagus positif,2
koment ter cakeeep,1
semangat perubahan,2
nek ruwet pecat ae jukir e,1
wis ora melu saiki sing ngurusi kancane roy karo anak buahe agus yayat,0
kalo pakek eparking kena brpa permotor,0
tuku alat modern jalanan berlubang nambal gak,0
jukir berkompeten cekatan cak cek,1
semoga pengelola aplikasi dibayar kabur alasan korban dianggarkan,0
kakean polah dana pembangunan monumen reog pemerintahannya cari dana jalanan gt penggunaan eparking alokasikan emang lahan parking dipingir jalan gt,2
tau ngerti to duit 2000 2 ne dicoret dadi 3000,0
tiwas e parkir neng hos cokroaminoto mending e parkir e dikekne pasar legi lk luwih cocok,2
tukang parkir parah alun2 pilih parkir motor bayar 5000 opo ngaleh ra gelem ngalih o piye lo kiih,0
tujuan dr postingan iki yo ikueparkirutk lbh menertibkan parkirjd jgn mikirehalah mandak rong ewu ae kokla 2000 x loopo neh sing 5000 xbrapa kali lipat sdgkan yg kekota ora mesti arep ne alun2 tokkadang arep tuku klambipo neh pas bododilok neng toko atoko btoko cneng alun2mergo gak cocok pakianepiliane dllla kui ws muni lo parkirekadang mulih sik rung opo sing digolekimuk bayar2 pkr aja,2
intine lek noto amrih pemasukan daerah meningkat mengurangimeniadakan kebocoran oke oke wae imbal balike masyarakat meningkat,2
wehehe salah siji alesane enek e parkir kayane iku kak,0
rumit parkir pakai sistem elektronik urus korupsi yg 2 parkir 2000 motor mobil 50 000,0
koyo tau ra asing seng numpak montor kui,2
yg lahan ndiri dibahaskn yg dbhas td ttg etilangya jls yg hubnya dg pemda wakmisalnya yo parkir ne jln hosalun2,2
nyapo g gawe gedung parkir kei boom gate secure p centre park iss ngunu ngidul e gawe ya modif ben nyaman bayar e becak iku soko parkir retribusi parkir gedung moco 9 omset parkir iku ono akeh pilihan pembayaran gak gawe aplikasi maneh ngembek ngebek i hp tpi lek kur dilut parkir pinggir dalan ae limit 7 menit luwih soko iku angkut nang gedung parkir,2
ngurusi urusan sing gak urgent,0
lek kangelan gae alat elektronik ben digenteni cah2 ae iki wes akeh cah lulusan anyar podo nganggur,0
watduuuuh ngono ya,1
salfok karo tulisan parkir penitipan trus nk motore ilang karcis parkire gratis,2
oke siaaap ngono tertib,2
masyarakat ora menolak jukir tok sing nolak,0
isone mung ngewangi dungo pomo gawe e mugo ae bayare kang parkir iso d susaikne gk agal pas gk gwe karcis,2
sui sui kno e toilet barang iki ngko,1
lha kuwi sik uji coba lak sik hasil kayane,2
mlebu toilet gekne engising,0
jajal admine moro gawe video singkat pembayaran e parking ben kabeh ruh,0
arep komen bak e ws enek sng muni,1
bayar pakek gopaydana opo sopipay,2
praktik korupsi selisih 63 jutaan,0
aneh e,2
bayare pake opo min tf opo pake emoney,0
setoran e sesuai dishub ta e,2
jan ndak umom mas wkwkwk,2
ikhlas gag ikhlastp kejujuran perda dah ngatur tarif parkir tukang parkir dikasi 10ribu gag ngasi kembalian elektronik kerja sesuai sop yg,2
oh iya yg pake qris jakarta semoga aja ponorogo pake qris,1
ribet penghasilan jukir berkurang drastis ayoo gas kemajuan eperkir aja,0
kalo persulit permudah auk ah elap,1
laiyoo mayan ya 5 ewu kenek gawe tuku jus opo pentol goreng wkwkw,0
truspajak meningkat fasilitas meningkat jg nggih,0
alah gabisa korup kalo pake eparkir,0
ya kaboten setor jugakan jukir ndk indo kebanyakan berumurya kalo berumur sekolah ndak papa baca lha kalo dak sekolah ya kasian,2
ruwet kudune cah nom sing neng nduwur ki iso ngerteni kondisi masyarakat ponorogo nek terapne ngono kui iso mlaku pora ojo gur golek rai ide sing gawe ruwet tulung ojo golek rai,0
yok iso yok kuto kuto gede wes lumrah banget eparkir saiki gilirane ponorogo iso nyusul ketertinggalan,2
parkir liar lahan basah orang malas,0
sipp maju,1
pemerintah yo kudu ngomongi tukang parkire kerjone ojo mung nompo duite tok njogo lan merapikan kendaraan sing tenanan lan ngarahne kendaraan sing arep mlebu metu,0
kampungan,0
rodok bahaya lek iki,0
mbok ngnoooo ben parkir motor gak 2rb,2
ya allah,2
shodaqoh ng masjid ae maton drpd shodaqoh tp grundel mslhnya brg gk pakek parkir maton prayo malih grundel,2
wkwkwk parkir e akeh yo adek lahan parkir piye masuk ra,0
tu klo ga ditindak lanjutin ga adil,2
penak eparkir pengalamanku bayar sesuai aturan kenek plilikan mripate tukang parkir ngono ngueece karo ngguyuarep taat aturan susyah tenan,2
iyaa iya mba bpom ampuh nih strechmark bekas lahiran hilang memudar pakai produk,2
rumit kali ytta,0
ijen gawene losss,0
setujuopo meneh sing gaene blojo bahan kadang toko satune kosong pindah toko liyanesik kas sak nyuk an ae parkir barang sing goleki durung,0
rumit tpi penghasilan meraka berkurang,0
wes ketebak endinge,1
awakmu tim kak manual elektronik,0
,1
seng sabar ya jukir,2
payung ngarepe smp6 kae iso nganti dicem,1
kesepakatane podo nolak la ngene akhire,2
mugo2 dudu mung alesan nek penghasile berkurang gara2 setoran e neng dishub akeh wkwkwk,0
pakai ecard aja lgsung tempel gtu,1
blas ketoke min,0
â blm prnah liat sistem parkiran mall kah,0
ya edukasi ae titik ribet te ae lek wes berlajalan sistem e yo mempermudah e,0
bolak minn,1
pelatihan,1
heheh enek sing berpendapat soale wayah ngurusi sing arep metu 2 sing siji urung kecandhak wis mlayu dhisik mungking ngono,0
panggah mawut,1
coba kalo full model kayak e toll top up saldo tp mudahnya gak ribet jujul hehe btw bayar via sopipaygopay gak,2
up,1
parkir alon alon timur pizza hut 10 ribu 10 ribu kali brapa ratus mobil hasilnya ngerti dewe,0
hooh sih bener lhaaaa dadi awakmu tim manual parkir kak,0
iki sak eroh ku lo ya teko kuto sing wis ono eparking gak ribet pembayarane soale g atek duwek ngetap kartu luwih higienis luwih tertib pembayarane soale tertera area ne ugo tukang parkir penghasilane luwih iso dijagakno soale digajibln paham karepe podoâ² enake awake dewe pemakai jasa parkir jukir lan pemkab masalahe saiki ponorogo wis tah gawe ngelaksanakno sosialisasi opo wis masyarakat kabeh ngerti gawe rambu ae dadak sik ngenteni kejadian marka jalan akeh sing durung dibenah garis hilangpudar owalah ojo grusa grusu,0
mesakne jukir seng tuek gak paham gawe kui,2
bayare tetep gae tunai min,1
wkwkwwkmlahan,1
iya sih ya tau og golek barang ndak ya kudu shodaqoh sing sabar kak ben lancar rejekine,2
alhamdulilah semangat gak bayar eparking kalo baiklah lihat terimakasih waalaikumsalam,2
peningkatannya yg nya masuk jukir tuh,0
menolak penghasilannya gak kelong akeh,0
mlampah wae nek mboten purun parkir ngono wae og bingung,2
aji mumpung to maktrs gunane perdabisa diubah trgantung sikongt to,2
lanjutkan e parkir â biar pad,1
ribet blm terbiasa jukirnya ber umurjadinya gaptek,0
bernasib karo etilang,1
naaaaah iku sik uji coba bakale dievaluasi sik,2
ribet komen ndk msuknakal mending diam,0
aq eling ngono pegel ae bos wes susu gk kelangan bayar parkir kono kene,0
wealah zuzah nek ngono,1
ksuwen,1
kebiasaan 2 ribu dapetnya,1
sik urung parkir,0
sek mending mba 3 rb pas rme rme e 5rb wkk,2
ngakak,2
iki pakai karcis nek sadurunge manualan akeh sing ora ta masaku kabeh mandaran,1
keras men ajae mbak,0
watduuuh lha piye penake kak,1
chuaks,1
lhadalaaah,1
mempersulit tukang parkir yg sdh sepuh,0
r ndwe e money,1
iya eparking aja karna lbih tertib ga marai emosi soale marai emosi jukirâ² sg diwei 1000 tpi ra gelem nampani meksoâ² kon 2rb sdangkan disaat ra enek duit receh eparking emng butuh sosialisasi penggunaan seiring brjalannya terbiasa,2
juru parkir sing meresahkan yoiku bayar 2 ribu gak disusuki bayar sewu gak diseberangne sakjane aturan parkir terbaru piro ya,2
